570,40,60.315971
624,35,133.304651
677,32,166.666666
731,33,199.999999
783,37,233.33333299999998
831,46,266.66666599999996
875,60,299.999999
913,75,333.333333
944,91,366.66666599999996
965,107,399.999999
981,120,433.333333
991,130,466.66666599999996
996,134,499.999999
994,136,533.3333329999999
986,134,566.666666
971,127,599.999999
950,116,633.3333329999999
922,101,666.666666
889,84,699.999999
845,69,733.3333329999999
795,57,766.666666
743,46,799.999999
687,40,833.3333329999999
636,37,866.666666
583,40,899.999999
530,47,933.3333329999999
479,54,966.666666
435,61,999.999999
396,76,1033.333333
307,106,1133.333333
293,118,1166.6666659999999
286,123,1199.999999
284,124,1233.333333
288,122,1266.6666659999999
299,115,1299.999999
317,102,1333.333333
568,34,1533.333333
623,32,1566.6666659999999
677,36,1599.999999
732,40,1633.333333
785,45,1666.6666659999999
835,54,1699.999999
879,66,1733.3333329999998
919,77,1766.6666659999999
949,90,1799.999999
975,102,1833.3333329999998
994,113,1866.6666659999999
1006,119,1899.999999
1011,121,1933.3333329999998
1010,120,1966.6666659999999
1001,114,1999.999999
982,104,2033.3333329999998
958,93,2066.666666
929,79,2099.999999
891,69,2133.333333
847,53,2166.666666
801,41,2199.999999
699,33,2266.666666
648,33,2299.999999
598,35,2333.333333
548,37,2366.666666
501,46,2399.999999
462,58,2433.333333
426,71,2466.666666
397,85,2499.9999989999997
371,98,2533.333333
352,109,2566.666666
339,117,2599.9999989999997
332,120,2633.333333
332,120,2666.666666
339,117,2699.9999989999997
352,110,2733.333333
369,99,2766.666666
394,86,2799.9999989999997
426,72,2833.333333
465,59,2866.666666
509,48,2899.9999989999997
556,39,2933.333333
603,32,2966.666666
653,31,2999.9999989999997
702,33,3033.333333
752,37,3066.666666
798,44,3099.9999989999997
842,56,3133.333333
881,66,3166.666666
917,78,3199.9999989999997
944,90,3233.333333
965,102,3266.666666
981,110,3299.9999989999997
991,115,3333.333333
992,117,3366.6666659999996
988,115,3399.9999989999997
977,109,3433.333333
961,98,3466.6666659999996
938,88,3499.9999989999997
908,75,3533.333333
870,65,3566.6666659999996
828,52,3599.9999989999997
782,41,3633.333333
734,36,3666.6666659999996
683,35,3699.9999989999997
632,36,3733.333333
584,37,3766.6666659999996
539,43,3799.9999989999997
496,54,3833.333333
459,66,3866.6666659999996
425,77,3899.9999989999997
396,88,3933.333333
374,99,3966.6666659999996
356,107,3999.9999989999997
345,113,4033.333333
342,115,4066.6666659999996
343,114,4099.999999
353,109,4133.333333
367,102,4166.666666
389,91,4199.999999
417,78,4233.333333
452,66,4266.666666
931,68,4633.333333
953,80,4666.666666
971,90,4699.999999
983,95,4733.333333
987,96,4766.666666
985,96,4799.999999
979,94,4833.333333
965,88,4866.666666
946,80,4899.999999
919,68,4933.333333
883,58,4966.666666
843,49,4999.999999
799,37,5033.333333
754,35,5066.666666
706,33,5099.999999
656,33,5133.333333
616,35,5166.666666
567,37,5199.999999
522,41,5233.333333
483,50,5266.666666
448,59,5299.999999
417,71,5333.333333
391,80,5366.666666
376,87,5399.999999
922,63,6066.666666
943,71,6099.999999
958,78,6133.333333
966,82,6166.666666
968,80,6199.999999
965,77,6233.333333
955,69,6266.666666
938,63,6299.999999
914,61,6333.333333
886,47,6366.666666
504,37,6666.666666
471,46,6699.999999
441,58,6733.333333
415,65,6766.666666
393,76,6799.999999
378,83,6833.333333
368,87,6866.666666
364,87,6899.999999
367,85,6933.333333
376,79,6966.666666
389,71,6999.999999
410,60,7033.333333
438,51,7066.666666
471,41,7099.999999
507,35,7133.333333
548,31,7166.666666
591,29,7199.999999
724,28,7299.999999
766,31,7333.333333
808,35,7366.666666
844,41,7399.999999
878,48,7433.333333
906,55,7466.666666
929,64,7499.999999
945,69,7533.333333
955,71,7566.666666
961,68,7599.999999
959,67,7633.333333
954,63,7666.666666
942,55,7699.999999
923,48,7733.333333
896,41,7766.666666
